Itemid,Judgement
001-59985,violation
001-61796,violation
001-163100,violation
001-177123,violation
001-177126,violation
001-177118,violation
001-140259,violation
001-140261,violation
001-140396,violation
001-140029,violation
001-140258,violation
001-140241,violation
001-140243,violation
001-140244,violation
001-140012,violation
001-140014,violation
001-140013,violation
001-140010,violation
001-140017,violation
001-140011,violation
001-139908,violation
001-154025,violation
001-154152,violation
001-154347,violation
001-153812,violation
001-180650,violation
001-180651,violation
001-180652,violation
001-180653,violation
001-180654,violation
001-180666,violation
001-180667,violation
001-180668,violation
001-180669,violation
001-180315,violation
001-126132,violation
001-159047,violation
001-159048,violation
001-159058,violation
001-159059,violation
001-159061,violation
001-159057,violation
001-158881,violation
001-172361,violation
001-172363,violation
001-172132,violation
001-172104,violation
001-172106,violation
001-172068,violation
001-172078,violation
001-58921,violation
001-58920,violation
001-61090,violation
001-60953,violation
001-144357,violation
001-144360,violation
001-117131,violation
001-71226,violation
001-71123,violation
001-70971,violation
001-70449,violation
001-80631,violation
001-80333,violation
001-80464,violation
001-80500,violation
001-80457,violation
001-80502,violation
001-80518,violation
001-80170,violation
001-104849,violation
001-104851,violation
001-104921,violation
001-104698,violation
001-104700,violation
001-104726,violation
001-104714,violation
001-104762,violation
001-104754,violation
001-202411,violation
001-96481,violation
001-96174,violation
001-96095,violation
001-96225,violation
001-96114,violation
001-96140,violation
001-96147,violation
001-96164,violation
001-96187,violation
001-96222,violation
001-96089,violation
001-96093,violation
001-60035,violation
001-198483,violation
001-198461,violation
001-198463,violation
001-198466,violation
001-198467,violation
001-198469,violation
001-100962,violation
001-101259,violation
001-101286,violation
001-101225,violation
001-100821,violation
001-100657,violation
001-100693,violation
001-101141,violation
001-100960,violation
001-100413,violation
001-108690,violation
001-109062,violation
001-108990,violation
001-85442,violation
001-85458,violation
001-85464,violation
001-85334,violation
001-85306,violation
001-93356,violation
001-93382,violation
001-93368,violation
001-93256,violation
001-93252,violation
001-93027,violation
001-93121,violation
001-93123,violation
001-93135,violation
001-93012,violation
001-186127,violation
001-186132,violation
001-186133,violation
001-186134,violation
001-186136,violation
001-186046,violation
001-68548,violation
001-68736,violation
001-68840,violation
001-68711,violation
001-77837,violation
001-77934,violation
001-77576,violation
001-77796,violation
001-77798,violation
001-77396,violation
001-76999,violation
001-77698,violation
001-81323,violation
001-81413,violation
001-81415,violation
001-81423,violation
001-81195,violation
001-80960,violation
001-81242,violation
001-81144,violation
001-80696,violation
001-80910,violation
001-80953,violation
001-72160,violation
001-72114,violation
001-72039,violation
001-72043,violation
001-71950,violation
