Itemid,Judgement
001-57523,violation
001-61716,violation
001-162831,violation
001-140021,violation
001-154265,violation
001-180835,violation
001-180660,violation
001-180506,violation
001-180493,violation
001-180310,violation
001-57915,violation
001-58104,violation
001-147676,violation
001-159188,violation
001-158880,violation
001-172322,violation
001-171974,violation
001-60958,violation
001-145084,violation
001-144139,violation
001-144129,violation
001-117742,violation
001-80514,violation
001-80386,violation
001-104685,violation
001-202427,violation
001-202415,violation
001-202391,violation
001-113141,violation
001-96179,violation
001-95920,violation
001-96011,violation
001-60172,violation
001-60171,violation
001-60173,violation
001-58306,violation
001-58305,violation
001-198640,violation
001-100954,violation
001-100448,violation
001-100908,violation
001-85489,violation
001-85484,violation
001-85016,violation
001-85084,violation
001-93157,violation
001-93159,violation
001-92918,violation
001-186440,violation
001-68648,violation
001-68650,violation
001-68652,violation
001-77786,violation
001-77829,violation
001-77831,violation
001-77753,violation
001-77919,violation
001-80903,violation
001-80865,violation
001-72090,violation
001-189744,violation
001-189760,violation
001-189764,violation
001-116134,violation
001-116031,violation
001-116024,violation
001-142422,violation
001-142424,violation
001-142637,violation
001-96949,violation
001-89064,violation
001-88965,violation
001-89110,violation
001-112088,violation
001-112091,violation
001-111399,violation
001-111536,violation
001-203307,violation
001-203169,violation
001-203166,violation
001-203177,violation
001-203178,violation
001-203180,violation
001-203181,violation
001-203155,violation
001-203156,violation
001-203158,violation
001-203159,violation
001-203160,violation
001-203174,violation
001-203182,violation
001-203184,violation
001-103415,violation
001-57629,violation
001-57630,violation
001-92171,violation
001-196418,violation
001-196480,violation
001-196409,violation
001-196481,violation
001-195977,violation
001-195982,violation
001-186766,violation
001-67917,violation
001-164453,violation
001-164462,violation
001-163113,violation
001-164315,violation
001-181595,violation
001-181588,violation
001-141763,violation
001-59366,violation
001-58012,violation
001-58116,violation
001-57925,violation
001-147014,violation
001-120955,violation
001-170839,violation
001-170857,violation
001-170464,violation
001-158235,violation
001-59220,violation
001-168761,violation
001-105557,violation
001-105125,violation
001-113919,violation
001-90468,violation
001-90594,violation
001-90596,violation
001-98401,violation
001-187736,violation
001-187397,violation
001-75104,violation
001-73081,violation
001-82899,violation
001-82559,violation
001-82632,violation
001-78571,violation
001-78561,violation
001-78562,violation
001-78605,violation
001-78381,violation
001-78574,violation
001-78249,violation
001-184654,violation
001-184666,violation
001-184500,violation
001-184502,violation
001-206364,violation
001-200657,violation
001-200313,violation
001-200340,violation
001-103304,violation
001-103222,violation
001-111421,violation
001-93265,violation
001-57974,violation
001-58906,violation
001-138568,violation
001-152711,violation
001-167799,violation
001-166928,violation
001-180286,violation
001-180282,violation
001-180291,violation
001-180284,violation
001-180285,violation
001-179882,violation
001-179875,violation
001-59414,violation
001-59363,violation
001-107591,violation
001-107541,violation
001-107530,violation
001-99854,violation
001-99778,violation
001-99775,violation
001-91415,violation
001-91242,violation
001-91475,violation
001-83632,violation
001-83369,violation
001-83386,violation
001-160314,violation
001-160270,violation
001-160087,violation
001-173369,violation
001-118040,violation
001-145457,violation
001-58274,violation
001-58275,violation
001-58270,violation
001-58273,violation
001-58271,violation
001-58277,violation
001-150798,violation
001-150672,violation
001-149204,violation
001-127395,violation
001-127115,violation
001-67457,violation
001-67475,violation
001-76714,violation
001-84268,violation
001-84274,violation
001-194205,violation
001-194000,violation
001-98752,violation
001-98656,violation
001-98559,violation
001-107206,violation
001-107053,violation
001-178958,violation
001-178714,violation
001-61410,violation
001-61436,violation
001-59603,violation
001-59588,violation
001-60687,violation
001-58607,violation
001-58753,violation
001-174614,violation
001-174422,violation
001-174419,violation
001-174381,violation
001-58134,violation
001-57947,violation
001-57757,violation
001-57795,violation
001-57772,violation
001-90127,violation
001-114779,violation
001-114439,violation
001-204320,violation
001-204319,violation
001-203932,violation
001-157532,violation
001-157509,violation
001-170354,violation
001-170393,violation
001-170358,violation
001-170056,violation
001-189169,violation
001-188993,violation
001-81914,violation
001-72216,violation
001-79572,violation
001-79591,violation
001-79213,violation
001-79312,violation
001-70116,violation
001-94840,violation
001-94843,violation
001-94075,violation
001-87217,violation
001-87003,violation
001-102412,violation
001-102358,violation
001-201890,violation
001-201896,violation
001-201860,violation
001-201863,violation
001-71671,violation
001-72046,violation
001-72035,violation
001-82030,violation
001-82036,violation
001-82038,violation
001-81372,violation
001-58015,violation
001-169522,violation
001-169465,violation
001-169201,violation
001-157399,violation
001-57705,violation
001-89575,violation
001-89384,violation
001-97224,violation
001-97254,violation
001-97031,violation
001-205132,violation
001-205051,violation
001-205062,violation
001-204814,violation
001-204818,violation
001-204835,violation
001-204836,violation
001-87424,violation
001-87175,violation
001-95201,violation
001-94644,violation
001-201324,violation
001-201087,violation
001-200819,violation
001-102141,violation
001-110171,violation
001-70373,violation
001-79659,violation
001-79574,violation
001-182861,violation
001-182731,violation
001-182446,violation
001-182627,violation
001-182173,violation
001-164963,violation
001-164668,violation
001-164670,violation
001-61539,violation
001-61522,violation
001-91501,violation
001-83830,violation
001-83527,violation
001-107307,violation
001-99589,violation
001-99393,violation
001-99186,violation
001-75591,violation
001-67392,violation
001-67352,violation
001-126797,violation
001-126559,violation
001-150228,violation
001-146406,violation
001-146410,violation
001-146416,violation
001-146384,violation
001-146385,violation
001-205545,violation
001-205898,violation
001-58797,violation
001-174992,violation
001-90704,violation
001-166682,violation
001-59535,violation
001-58369,violation
001-152416,violation
001-151007,violation
