Itemid,Judgement
001-57468,violation
001-57486,violation
001-57436,violation
001-60021,violation
001-60027,violation
001-60028,violation
001-60029,violation
001-60030,violation
001-60031,violation
001-60032,violation
001-60033,violation
001-60034,violation
001-61819,violation
001-61822,violation
001-61794,violation
001-61807,violation
001-61797,violation
001-61773,violation
001-61775,violation
001-61759,violation
001-163352,violation
001-163340,violation
001-163111,violation
001-162859,violation
001-162862,violation
001-162857,violation
001-162866,violation
001-162863,violation
001-177122,violation
001-177124,violation
001-177126,violation
001-177118,violation
001-177135,violation
001-140396,violation
001-140397,violation
001-140242,violation
001-140258,violation
001-140022,violation
001-140028,violation
001-140239,violation
001-140241,violation
001-140243,violation
001-140244,violation
001-140018,violation
001-140003,violation
001-154265,violation
001-154027,violation
001-154022,violation
001-154020,violation
001-154021,violation
001-154344,violation
001-154347,violation
001-154351,violation
001-154155,violation
001-153922,violation
001-153767,violation
001-57983,violation
001-57978,violation
001-58257,violation
001-180829,violation
001-180837,violation
001-180841,violation
001-180646,violation
001-180647,violation
001-180648,violation
001-180649,violation
001-180650,violation
001-180658,violation
001-180661,violation
001-180548,violation
001-180549,violation
001-180485,violation
001-180481,violation
001-180492,violation
001-180500,violation
001-180483,violation
001-180484,violation
001-180302,violation
001-180305,violation
001-57909,violation
001-57910,violation
001-57906,violation
001-57913,violation
001-58107,violation
001-58178,violation
001-58179,violation
001-58095,violation
001-126128,violation
001-148178,violation
001-148179,violation
001-148095,violation
001-148093,violation
001-147875,violation
001-147885,violation
001-147886,violation
001-159040,violation
001-159041,violation
001-159043,violation
001-159052,violation
001-159053,violation
001-158960,violation
001-158959,violation
001-158950,violation
001-158821,violation
001-158820,violation
001-158708,violation
001-172361,violation
001-172315,violation
001-172317,violation
001-172316,violation
001-172325,violation
001-172328,violation
001-172131,violation
001-172132,violation
001-172066,violation
001-172068,violation
001-172069,violation
001-172071,violation
001-172075,violation
001-172078,violation
001-59205,violation
001-58920,violation
001-59164,violation
001-59098,violation
001-58994,violation
001-58977,violation
001-58978,violation
001-58983,violation
001-59127,violation
001-58848,violation
001-59096,violation
001-61094,violation
001-61095,violation
001-61096,violation
001-61078,violation
001-61087,violation
001-61088,violation
001-61017,violation
001-60967,violation
001-61028,violation
001-61029,violation
001-61030,violation
001-61031,violation
001-61032,violation
001-61033,violation
001-61034,violation
001-61036,violation
001-60963,violation
001-61001,violation
001-61003,violation
001-61007,violation
001-144944,violation
001-144946,violation
001-144937,violation
001-144939,violation
001-144945,violation
001-144943,violation
001-144362,violation
001-144363,violation
001-144360,violation
001-144139,violation
001-117124,violation
001-117123,violation
001-117132,violation
001-117128,violation
001-117213,violation
001-117219,violation
001-71349,violation
001-71357,violation
001-70720,violation
001-71204,violation
001-71206,violation
001-71210,violation
001-71212,violation
001-71216,violation
001-71218,violation
001-71220,violation
001-71222,violation
001-71224,violation
001-71226,violation
001-71228,violation
001-71230,violation
001-71232,violation
001-71214,violation
001-70963,violation
001-71099,violation
001-71112,violation
001-71113,violation
001-71114,violation
001-71115,violation
001-71116,violation
001-71117,violation
001-71118,violation
001-71119,violation
001-71120,violation
001-71121,violation
001-71123,violation
001-71032,violation
001-71040,violation
001-70971,violation
001-70449,violation
001-80631,violation
001-80583,violation
001-80520,violation
001-80457,violation
001-80455,violation
001-80486,violation
001-80488,violation
001-80480,violation
001-80498,violation
001-80502,violation
001-80529,violation
001-80533,violation
001-80537,violation
001-80303,violation
001-80327,violation
001-80209,violation
001-80213,violation
001-80211,violation
001-80384,violation
001-80386,violation
001-80408,violation
001-80412,violation
001-80416,violation
001-80418,violation
001-80420,violation
001-80427,violation
001-80434,violation
001-80436,violation
001-80444,violation
001-80449,violation
001-80400,violation
001-80396,violation
001-80170,violation
001-192077,violation
001-191909,violation
001-191910,violation
001-191911,violation
001-191912,violation
001-191913,violation
001-191737,violation
001-191738,violation
001-104919,violation
001-104920,violation
001-104921,violation
001-104923,violation
001-104710,violation
001-104698,violation
001-104700,violation
001-104682,violation
001-104651,violation
001-104670,violation
001-104726,violation
001-104728,violation
001-104613,violation
001-104706,violation
001-104714,violation
001-104762,violation
001-104716,violation
001-104718,violation
001-104745,violation
001-104754,violation
001-104626,violation
001-202463,violation
001-202464,violation
001-202458,violation
001-202460,violation
001-202462,violation
001-202441,violation
001-202438,violation
001-202428,violation
001-202425,violation
001-202419,violation
001-202415,violation
001-202209,violation
001-202411,violation
001-202413,violation
001-113142,violation
001-113280,violation
001-113338,violation
001-113426,violation
001-113428,violation
001-88500,violation
001-88502,violation
001-88505,violation
001-88518,violation
001-88529,violation
001-88533,violation
001-88535,violation
001-88375,violation
001-88385,violation
001-88387,violation
001-88389,violation
001-88391,violation
001-88395,violation
001-88397,violation
001-88399,violation
001-88321,violation
001-88343,violation
001-88352,violation
001-96357,violation
001-96213,violation
001-96391,violation
001-96399,violation
001-96408,violation
001-96410,violation
001-96415,violation
001-96428,violation
001-96466,violation
001-96481,violation
001-96486,violation
001-96165,violation
001-96327,violation
