Itemid,Judgement
001-60021,violation
001-61754,violation
001-61755,violation
001-163099,violation
001-163112,violation
001-162855,violation
001-162859,violation
001-177124,violation
001-177125,violation
001-140259,violation
001-140261,violation
001-140237,violation
001-140017,violation
001-139908,violation
001-139999,violation
001-154161,violation
001-154159,violation
001-154025,violation
001-153924,violation
001-154150,violation
001-154151,violation
001-153905,violation
001-153904,violation
001-153937,violation
001-57976,violation
001-57984,violation
001-180846,violation
001-180655,violation
001-180650,violation
001-180652,violation
001-180665,violation
001-180547,violation
001-180558,violation
001-180501,violation
001-180496,violation
001-180498,violation
001-180497,violation
001-58110,violation
001-58100,violation
001-148180,violation
001-147865,violation
001-147889,violation
001-159047,violation
001-159048,violation
001-159256,violation
001-158952,violation
001-172107,violation
001-172105,violation
001-172131,violation
001-172070,violation
001-58920,violation
001-59112,violation
001-59096,violation
001-59099,violation
001-60996,violation
001-60954,violation
001-144674,violation
001-144367,violation
001-144358,violation
001-144351,violation
001-117894,violation
001-117131,violation
001-70855,violation
001-80643,violation
001-80625,violation
001-80535,violation
001-80518,violation
001-80404,violation
001-80398,violation
001-80416,violation
001-80170,violation
001-191980,violation
001-191979,violation
001-104849,violation
001-104851,violation
001-104919,violation
001-104722,violation
001-104704,violation
001-104651,violation
001-104657,violation
001-104613,violation
001-113139,violation
001-88500,violation
001-88513,violation
001-96355,violation
001-96393,violation
001-96114,violation
001-96116,violation
001-96195,violation
001-96091,violation
001-57565,violation
001-57606,violation
001-57582,violation
001-57544,violation
001-60164,violation
001-60337,violation
001-198811,violation
001-198470,violation
001-198464,violation
001-100817,violation
001-100821,violation
001-100655,violation
001-100485,violation
001-100990,violation
001-101006,violation
001-109200,violation
001-108961,violation
001-108690,violation
001-109064,violation
001-108779,violation
001-108787,violation
001-85559,violation
001-85442,violation
001-84709,violation
001-85334,violation
001-85297,violation
001-85304,violation
001-93382,violation
001-93266,violation
001-93278,violation
001-93239,violation
001-93090,violation
001-93155,violation
001-93095,violation
001-93121,violation
001-186699,violation
001-186114,violation
001-68734,violation
001-68754,violation
001-68625,violation
001-77850,violation
001-78062,violation
001-78040,violation
001-78034,violation
001-77917,violation
001-77690,violation
001-77782,violation
001-77755,violation
001-81374,violation
001-81321,violation
001-81189,violation
001-80960,violation
001-81244,violation
001-80910,violation
001-81069,violation
001-72160,violation
001-71942,violation
001-71944,violation
001-71747,violation
001-189960,violation
001-189958,violation
001-189959,violation
001-190023,violation
001-189744,violation
001-189725,violation
001-116121,violation
001-116020,violation
001-115883,violation
001-142840,violation
001-142521,violation
001-142421,violation
001-142394,violation
001-142429,violation
001-142430,violation
001-142399,violation
001-58744,violation
001-58609,violation
001-60537,violation
001-60522,violation
001-60509,violation
001-60559,violation
001-97110,violation
001-96947,violation
001-96453,violation
001-89161,violation
001-89123,violation
001-88780,violation
001-88926,violation
001-88836,violation
001-88846,violation
001-88899,violation
001-112201,violation
001-112434,violation
001-111938,violation
001-112108,violation
001-112013,violation
001-112098,violation
001-112097,violation
