Itemid,Judgement
001-61796,violation
001-61763,violation
001-163330,violation
001-163103,violation
001-163106,violation
001-163099,violation
001-163110,violation
001-162867,violation
001-177123,violation
001-177119,violation
001-176930,violation
001-140240,violation
001-140259,violation
001-140260,violation
001-140261,violation
001-140238,violation
001-140028,violation
001-140030,violation
001-140017,violation
001-139908,violation
001-154400,violation
001-154161,violation
001-154163,violation
001-154025,violation
001-154154,violation
001-154149,violation
001-154153,violation
001-154152,violation
001-153926,violation
001-153937,violation
001-180651,violation
001-180652,violation
001-180653,violation
001-180654,violation
001-180662,violation
001-180663,violation
001-180664,violation
001-180665,violation
001-180666,violation
001-180667,violation
001-180668,violation
001-180669,violation
001-180544,violation
001-180719,violation
001-126025,violation
001-148078,violation
001-148070,violation
001-147881,violation
001-147887,violation
001-159047,violation
001-159048,violation
001-159058,violation
001-159059,violation
001-159061,violation
001-159057,violation
001-158953,violation
001-158881,violation
001-158887,violation
001-158885,violation
001-172327,violation
001-172107,violation
001-172363,violation
001-172323,violation
001-172102,violation
001-172103,violation
001-172104,violation
001-172106,violation
001-172066,violation
001-172070,violation
001-172076,violation
001-172079,violation
001-144931,violation
001-144666,violation
001-144357,violation
001-117885,violation
001-117134,violation
001-117131,violation
001-117132,violation
001-116973,violation
001-80333,violation
001-80395,violation
001-80500,violation
001-80484,violation
001-80535,violation
001-80518,violation
001-80364,violation
001-80170,violation
001-192543,violation
001-191911,violation
001-191980,violation
001-191958,violation
001-191929,violation
001-191928,violation
001-191749,violation
001-104849,violation
001-104851,violation
001-104782,violation
001-104804,violation
001-104704,violation
001-104708,violation
001-104682,violation
001-104613,violation
001-202538,violation
001-202435,violation
001-113126,violation
001-88377,violation
001-88381,violation
001-88393,violation
001-96357,violation
001-96481,violation
001-96412,violation
001-96179,violation
001-96114,violation
001-198811,violation
001-198470,violation
001-198483,violation
001-198475,violation
001-198465,violation
001-198467,violation
001-198469,violation
001-198385,violation
001-100962,violation
001-100950,violation
001-100809,violation
001-100817,violation
001-100821,violation
001-100485,violation
001-109066,violation
001-109074,violation
001-108690,violation
001-108969,violation
001-108781,violation
001-85579,violation
001-85442,violation
001-85308,violation
001-85334,violation
001-93356,violation
001-93382,violation
001-92945,violation
001-93086,violation
001-93095,violation
001-93121,violation
001-93012,violation
001-186428,violation
001-186114,violation
001-186128,violation
001-186125,violation
001-186129,violation
001-186130,violation
001-186131,violation
001-186133,violation
001-186134,violation
001-186136,violation
001-68711,violation
001-77850,violation
001-77522,violation
001-77778,violation
001-77576,violation
001-81136,violation
001-81321,violation
001-80960,violation
001-81248,violation
001-80711,violation
001-71950,violation
001-189960,violation
001-189950,violation
001-190020,violation
001-190025,violation
001-189760,violation
001-116186,violation
001-116328,violation
001-116329,violation
001-115886,violation
001-115883,violation
001-142840,violation
001-142394,violation
001-142429,violation
001-142430,violation
001-142407,violation
001-142399,violation
001-142306,violation
001-58897,violation
001-60509,violation
001-96699,violation
001-96703,violation
001-96687,violation
001-89161,violation
001-88895,violation
001-89079,violation
001-88792,violation
001-88780,violation
001-88975,violation
001-88750,violation
001-88842,violation
001-88969,violation
001-112277,violation
001-112061,violation
001-112095,violation
001-112098,violation
001-112097,violation
001-111841,violation
001-111631,violation
001-111838,violation
001-111850,violation
001-111585,violation
001-111661,violation
001-111543,violation
001-111525,violation
001-203296,violation
001-203304,violation
001-203313,violation
001-203162,violation
001-203187,violation
001-203183,violation
001-202999,violation
001-203000,violation
001-203051,violation
001-103931,violation
001-103998,violation
001-103938,violation
001-103636,violation
001-103674,violation
001-103260,violation
001-103528,violation
001-57587,violation
001-57506,violation
001-92587,violation
001-92595,violation
001-92368,violation
001-92318,violation
001-84819,violation
001-84336,violation
001-84482,violation
001-109883,violation
001-109886,violation
001-109750,violation
001-109729,violation
001-109231,violation
001-109527,violation
001-109534,violation
001-101891,violation
001-101657,violation
001-101505,violation
001-101586,violation
001-101503,violation
001-101592,violation
001-101596,violation
001-101564,violation
001-196379,violation
001-196482,violation
001-196484,violation
001-196371,violation
001-196370,violation
001-196152,violation
001-196295,violation
001-195991,violation
001-195975,violation
001-195978,violation
001-195979,violation
001-195981,violation
001-195984,violation
001-187481,violation
001-187465,violation
001-187193,violation
001-187197,violation
001-187201,violation
001-187241,violation
001-187240,violation
001-186791,violation
001-186762,violation
001-186775,violation
001-186777,violation
001-186854,violation
001-68067,violation
001-67982,violation
001-61636,violation
001-61679,violation
001-61674,violation
001-59884,violation
001-177917,violation
001-177930,violation
001-177650,violation
001-177663,violation
001-164463,violation
001-164465,violation
001-164414,violation
001-163912,violation
001-163808,violation
001-181835,violation
001-181836,violation
001-181841,violation
001-181845,violation
001-181846,violation
001-181847,violation
001-181848,violation
001-181850,violation
001-181852,violation
001-181598,violation
001-181782,violation
001-155373,violation
001-155194,violation
001-155199,violation
001-155206,violation
001-155195,violation
001-155087,violation
001-141908,violation
001-141625,violation
001-141632,violation
001-141633,violation
001-141635,violation
001-141627,violation
001-141628,violation
001-141630,violation
001-141634,violation
001-141636,violation
001-141202,violation
001-141189,violation
001-58232,violation
001-57964,violation
001-147029,violation
