Itemid,Judgement
001-163115,violation
001-163056,violation
001-140240,violation
001-154400,violation
001-180499,violation
001-180502,violation
001-126133,violation
001-172327,violation
001-172323,violation
001-172135,violation
001-80395,violation
001-80464,violation
001-112706,violation
001-96020,violation
001-57525,violation
001-100711,violation
001-85555,violation
001-85308,violation
001-92945,violation
001-186380,violation
001-77327,violation
001-80711,violation
001-72098,violation
001-71627,violation
001-190027,violation
001-116124,violation
001-142504,violation
001-58456,violation
001-96491,violation
001-111634,violation
001-203051,violation
001-103763,violation
001-57865,violation
001-57534,violation
001-92525,violation
001-92425,violation
001-84580,violation
001-84582,violation
001-109791,violation
001-68158,violation
001-61648,violation
001-59717,violation
001-164715,violation
001-181875,violation
001-155373,violation
001-141908,violation
001-58124,violation
001-122173,violation
001-170836,violation
001-158033,violation
001-158090,violation
001-105295,violation
001-113876,violation
001-90575,violation
001-187508,violation
001-82601,violation
001-69243,violation
001-69167,violation
001-200321,violation
001-200344,violation
001-103234,violation
001-111394,violation
001-93854,violation
001-58914,violation
001-138892,violation
001-128294,violation
001-61263,violation
001-99384,violation
001-83327,violation
001-83329,violation
001-83337,violation
001-83404,violation
001-67482,violation
001-84283,violation
001-83822,violation
001-92069,violation
001-91993,violation
001-91786,violation
001-106785,violation
001-179216,violation
001-179215,violation
001-174422,violation
001-174392,violation
001-161379,violation
001-119968,violation
001-120188,violation
001-119957,violation
001-97597,violation
001-90163,violation
001-114513,violation
001-170390,violation
001-170349,violation
001-188991,violation
001-188985,violation
001-81904,violation
001-81906,violation
001-86798,violation
001-102266,violation
001-102173,violation
001-102252,violation
001-189624,violation
001-71983,violation
001-81328,violation
001-58031,violation
001-57880,violation
001-57712,violation
001-204815,violation
001-115493,violation
001-87456,violation
001-87462,violation
001-87483,violation
001-87512,violation
001-87515,violation
001-87405,violation
001-87407,violation
001-87426,violation
001-201533,violation
001-109868,violation
001-110180,violation
001-182859,violation
001-59718,violation
001-61548,violation
001-91388,violation
001-91722,violation
001-91724,violation
001-83256,violation
001-83745,violation
001-194448,violation
001-194321,violation
001-75934,violation
001-76137,violation
001-67150,violation
001-127055,violation
001-205798,violation
001-58561,violation
001-161982,violation
001-161530,violation
001-193470,violation
001-100042,violation
001-99913,violation
001-108031,violation
001-91088,violation
001-91090,violation
001-91092,violation
001-91094,violation
001-91096,violation
001-61317,violation
001-58288,violation
001-58060,violation
001-128053,violation
001-127810,violation
001-127814,violation
001-61942,violation
001-61900,violation
001-145566,violation
001-174112,violation
001-173619,violation
001-161061,violation
001-161149,violation
001-160692,violation
001-188265,violation
001-187903,violation
001-114244,violation
001-97689,violation
001-98048,violation
001-98210,violation
001-156245,violation
001-86341,violation
001-86343,violation
001-57505,violation
001-69754,violation
001-171994,violation
001-122375,violation
001-96100,violation
001-103904,violation
001-112535,violation
001-60493,violation
001-57642,violation
001-84571,violation
001-92752,violation
001-101257,violation
001-100926,violation
001-58404,violation
001-113411,violation
001-202554,violation
001-88022,violation
001-57825,violation
001-70765,violation
001-70767,violation
001-192466,violation
001-116716,violation
001-116985,violation
001-116409,violation
001-85728,violation
001-85661,violation
001-85665,violation
001-85667,violation
001-61834,violation
001-175659,violation
001-162697,violation
001-57416,violation
001-159210,violation
001-60876,violation
001-60877,violation
001-57526,no-violation
001-57507,no-violation
001-59886,no-violation
001-61796,no-violation
001-140016,no-violation
001-57906,no-violation
001-60935,no-violation
001-144669,no-violation
001-144138,no-violation
001-96205,no-violation
001-60168,no-violation
001-60336,no-violation
001-57651,no-violation
001-70956,no-violation
001-142636,no-violation
001-60448,no-violation
001-60484,no-violation
001-203314,no-violation
001-103866,no-violation
001-103548,no-violation
001-57506,no-violation
001-109572,no-violation
001-109809,no-violation
001-109807,no-violation
001-109552,no-violation
001-101579,no-violation
001-101514,no-violation
001-187196,no-violation
001-187200,no-violation
001-61636,no-violation
001-61572,no-violation
001-59720,no-violation
001-177916,no-violation
001-164202,no-violation
001-57591,no-violation
001-141369,no-violation
001-58200,no-violation
001-120966,no-violation
001-170663,no-violation
001-61264,no-violation
001-59154,no-violation
001-59155,no-violation
001-59156,no-violation
001-59158,no-violation
001-59157,no-violation
001-113715,no-violation
001-73342,no-violation
001-78427,no-violation
001-206514,no-violation
001-103117,no-violation
001-57536,no-violation
001-57541,no-violation
001-73198,no-violation
001-57992,no-violation
001-59352,no-violation
001-59353,no-violation
001-59452,no-violation
001-59453,no-violation
001-59372,no-violation
001-59450,no-violation
001-99605,no-violation
001-99288,no-violation
001-91499,no-violation
001-91431,no-violation
001-83335,no-violation
001-60822,no-violation
001-160377,no-violation
001-145216,no-violation
001-57937,no-violation
001-58196,no-violation
001-67765,no-violation
001-67346,no-violation
001-76746,no-violation
001-76762,no-violation
001-76766,no-violation
001-84268,no-violation
001-194062,no-violation
001-98684,no-violation
001-98688,no-violation
001-107157,no-violation
001-107022,no-violation
001-107110,no-violation
001-59588,no-violation
001-59562,no-violation
001-60645,no-violation
001-60644,no-violation
001-60697,no-violation
001-58901,no-violation
001-58837,no-violation
001-58162,no-violation
001-58146,no-violation
001-114486,no-violation
001-58018,no-violation
001-72549,no-violation
001-72317,no-violation
001-79486,no-violation
001-79488,no-violation
