Itemid,Judgement
001-61796,violation
001-61798,violation
001-61747,violation
001-61704,violation
001-163115,violation
001-177079,violation
001-140022,violation
001-140012,violation
001-140014,violation
001-139995,violation
001-139998,violation
001-140010,violation
001-140011,violation
001-140006,violation
001-154147,violation
001-153812,violation
001-180559,violation
001-180719,violation
001-180505,violation
001-57905,violation
001-58098,violation
001-126133,violation
001-172392,violation
001-172073,violation
001-172077,violation
001-61054,violation
001-61002,violation
001-60996,violation
001-60958,violation
001-144681,violation
001-144935,violation
001-144355,violation
001-144357,violation
001-144358,violation
001-117135,violation
001-79996,violation
001-191745,violation
001-191714,violation
001-191717,violation
001-191749,violation
001-104782,violation
001-104649,violation
001-104662,violation
001-202537,violation
001-202461,violation
001-202437,violation
001-202433,violation
001-202423,violation
001-202416,violation
001-202417,violation
001-113129,violation
001-113139,violation
001-112993,violation
001-96220,violation
001-96020,violation
001-118248,violation
001-60163,violation
001-60324,violation
001-60035,violation
001-198636,violation
001-198472,violation
001-100469,violation
001-100657,violation
001-100897,violation
001-100492,violation
001-93237,violation
001-92767,violation
001-92879,violation
001-186380,violation
001-186135,violation
001-186116,violation
001-68373,violation
001-78053,violation
001-77837,violation
001-77327,violation
001-77715,violation
001-77688,violation
001-76999,violation
001-81136,violation
001-81323,violation
001-81195,violation
001-81142,violation
001-80910,violation
001-80953,violation
001-72098,violation
001-71800,violation
001-71498,violation
001-116186,violation
001-115864,violation
001-116020,violation
001-115871,violation
001-115888,violation
001-142673,violation
001-142739,violation
001-142520,violation
001-142398,violation
001-142504,violation
001-58448,violation
001-60612,violation
001-60522,violation
001-60509,violation
001-60492,violation
001-60431,violation
001-96585,violation
001-96587,violation
001-89062,violation
001-88993,violation
001-88997,violation
001-88780,violation
001-111634,violation
001-111938,violation
001-112021,violation
001-111890,violation
001-111688,violation
001-203166,violation
001-202990,violation
001-203052,violation
001-202989,violation
001-57865,violation
001-57420,violation
001-57534,violation
001-57626,violation
001-57627,violation
001-92525,violation
001-92418,violation
001-92572,violation
001-84741,violation
001-84586,violation
001-83788,violation
001-84367,violation
001-101645,violation
001-101647,violation
001-101323,violation
001-196416,violation
001-196414,violation
001-196423,violation
001-196149,violation
001-196153,violation
001-187509,violation
001-187565,violation
001-187196,violation
001-186769,violation
001-67930,violation
001-68158,violation
001-61647,violation
001-61653,violation
001-61619,violation
001-59717,violation
001-59686,violation
001-178175,violation
001-177698,violation
001-164467,violation
001-164715,violation
001-164639,violation
001-57577,violation
001-155373,violation
001-141170,violation
001-141202,violation
001-58241,violation
001-58244,violation
001-58219,violation
001-58208,violation
001-147117,violation
001-146773,violation
001-146704,violation
001-146565,violation
001-122173,violation
001-121613,violation
001-121615,violation
001-170836,violation
001-170590,violation
001-170462,violation
001-157964,violation
001-157695,violation
001-158077,violation
001-157766,violation
001-61272,violation
001-61184,violation
001-61264,violation
001-61229,violation
001-61142,violation
001-168782,violation
001-156273,violation
001-156267,violation
001-156265,violation
001-156261,violation
001-156084,violation
001-156271,violation
001-57834,violation
001-57811,violation
001-57809,violation
001-57805,violation
001-57887,violation
001-105746,violation
001-105478,violation
001-105468,violation
001-105415,violation
001-105561,violation
001-105217,violation
001-105197,violation
001-105291,violation
001-105129,violation
001-105104,violation
001-114076,violation
001-113390,violation
001-90581,violation
001-90590,violation
001-90749,violation
001-90751,violation
001-90755,violation
001-90051,violation
001-90460,violation
001-98445,violation
001-98434,violation
001-98332,violation
001-98387,violation
001-187686,violation
001-187739,violation
001-187508,violation
001-187512,violation
001-75311,violation
001-82560,violation
001-82754,violation
001-82597,violation
001-82243,violation
001-69391,violation
001-69356,violation
001-69239,violation
001-69243,violation
001-69167,violation
001-78580,violation
001-78410,violation
001-185213,violation
001-184824,violation
001-184809,violation
001-184674,violation
001-184476,violation
001-184489,violation
001-184276,violation
001-206716,violation
001-207017,violation
001-206515,violation
001-206519,violation
001-206512,violation
001-206901,violation
001-206503,violation
001-206355,violation
001-206265,violation
001-206268,violation
001-200437,violation
001-200440,violation
001-200444,violation
001-200324,violation
001-200327,violation
001-200344,violation
001-200336,violation
001-200339,violation
001-103216,violation
001-103273,violation
001-103394,violation
001-103397,violation
001-103413,violation
001-103251,violation
001-103234,violation
001-103155,violation
001-103161,violation
001-110986,violation
001-86093,violation
001-86008,violation
001-93690,violation
001-57504,violation
001-57600,violation
001-57453,violation
001-57610,violation
001-75894,violation
001-75423,violation
001-58914,violation
001-138892,violation
001-138992,violation
001-138603,violation
001-128043,violation
001-128294,violation
001-153134,violation
001-152731,violation
001-152777,violation
001-152593,violation
001-167801,violation
001-167804,violation
001-167557,violation
001-167490,violation
001-167118,violation
001-167806,violation
001-180279,violation
001-180273,violation
001-180293,violation
001-180296,violation
001-180287,violation
001-179867,violation
001-179881,violation
001-59413,violation
001-61294,violation
001-61262,violation
001-61263,violation
001-61247,violation
