,Processing_Type,Performance_Metrics,Logistic,SVM,Naive_Bayes,LDA,QDA,Random_Forest,XGboost,Adaboost,Best_model
0,standard,Accuracy,0.7514152514152515,0.7306360306360307,0.63992673992674,0.7281385281385282,0.71005661005661,0.7592074592074592,0.740992340992341,0.7513153513153513,Random_Forest
1,standard,Precision,0.7571965978595896,0.737139531876374,0.7641176470588236,0.7497843297843299,0.7321457821457822,0.7681487936221568,0.7475407873564557,0.7678773253773254,Random_Forest
2,standard,Recall,0.7466936572199729,0.7205128205128204,0.4045883940620783,0.6894736842105263,0.6585695006747638,0.7515519568151147,0.7352226720647772,0.7251012145748987,Random_Forest
3,standard,F1 score,0.7498443241059345,0.7269036859461181,0.5244816200748404,0.7172798874824191,0.6921452848729738,0.7583602693602695,0.7376061093436724,0.7440478685193377,Random_Forest
4,stopwords_nltk,Accuracy,0.7462204462204463,0.7358641358641359,0.6658008658008657,0.7488844488844488,0.7125874125874125,0.7565767565767565,0.7280719280719282,0.7099567099567099,Random_Forest
5,stopwords_nltk,Precision,0.7583694083694084,0.7457073204102066,0.7826926406926408,0.7660243883499698,0.7106207426939134,0.7756503754495147,0.7429238284180517,0.7031929310999079,Naive_Bayes
6,stopwords_nltk,Recall,0.7310391363022942,0.7152496626180838,0.4560053981106612,0.7205128205128205,0.7156545209176788,0.7361673414304993,0.6995951417004049,0.7307692307692306,Random_Forest
7,stopwords_nltk,F1 score,0.7409683666171536,0.7282513326348943,0.5752327145547484,0.7398868383370347,0.7124940979517929,0.7539043033643973,0.7197948994495396,0.7159781862103344,Random_Forest
8,stopwords_spacy,Accuracy,0.7514152514152515,0.722910422910423,0.6606060606060605,0.7463203463203463,0.7074592074592074,0.7488178488178489,0.7307692307692307,0.70992340992341,Logistic
9,stopwords_spacy,Precision,0.7639101595623334,0.7146419000615157,0.7875347459557986,0.7574400982955908,0.7174101412066751,0.7643099057804941,0.746327429345722,0.743048245614035,Naive_Bayes
10,stopwords_spacy,Recall,0.7361673414304992,0.7469635627530364,0.4350877192982455,0.7256410256410256,0.6848852901484481,0.7309041835357625,0.7101214574898785,0.6473684210526316,SVM
11,stopwords_spacy,F1 score,0.7452124484729263,0.7263347934372825,0.5596825396825397,0.7389828599584697,0.6981488470523949,0.7454021195452772,0.7247525334656341,0.6900307370067105,Random_Forest
