,Processing_Type,Performance_Metrics,Logistic,SVM,Naive_Bayes,LDA,QDA,Random_Forest,XGboost,Adaboost,Best_model
0,standard,Accuracy,0.7690344438170525,0.7647280255975908,0.6388895162808207,0.7811970638057595,0.7664520986260117,0.7820741577263316,0.7760097873141352,0.7699228307923959,Random_Forest
1,standard,Precision,0.7937481334957063,0.7758664303059692,0.5902902134989259,0.8137133306944628,0.8005284597925492,0.8047044180497428,0.7991029352554382,0.7995942068906168,LDA
2,standard,Recall,0.7256521739130435,0.7464617691154423,0.9183808095952024,0.7290854572713644,0.7100149925037481,0.7447076461769115,0.7377811094452774,0.7204197901049474,Naive_Bayes
3,standard,F1 score,0.7579316986633741,0.7603942076074787,0.7179969952647556,0.768867385347726,0.7518775032053004,0.7732343650957672,0.7669203780968487,0.7576260875261748,Random_Forest
4,stopwords_nltk,Accuracy,0.7707773386034255,0.7612497647280255,0.6961829474872954,0.7794692264257482,0.7655750047054395,0.7803274985883681,0.7760248447204969,0.7655975908149821,Random_Forest
5,stopwords_nltk,Precision,0.789822973636533,0.7705613966977604,0.6555940620355687,0.8046600007661955,0.8296988044439318,0.7904886776019262,0.794481272251446,0.7822239799005649,QDA
6,stopwords_nltk,Recall,0.7361019490254872,0.7447076461769115,0.833313343328336,0.7377811094452773,0.6683508245877061,0.7620839580209895,0.746431784107946,0.7360419790104947,Naive_Bayes
7,stopwords_nltk,F1 score,0.7613453356230777,0.7570360201439588,0.7331451355661882,0.7693443052439701,0.7396366016927256,0.7756703681568331,0.7687937868662309,0.7582881029465044,Random_Forest
8,stopwords_spacy,Accuracy,0.76643704121965,0.7577790325616413,0.6935780161867118,0.778592132505176,0.7664332768680595,0.7768642951251647,0.7707923960097874,0.7543120647468473,LDA
9,stopwords_spacy,Precision,0.7851843725339779,0.7588430511455287,0.6538817216399482,0.7984355059546875,0.8108759189849133,0.7922261747505729,0.7898422454497221,0.7685973282883405,QDA
10,stopwords_spacy,Recall,0.732623688155922,0.7551274362818591,0.8298350824587708,0.7446926536731635,0.6943328335832083,0.7499100449775112,0.7378110944527736,0.7273163418290854,Naive_Bayes
11,stopwords_spacy,F1 score,0.7577082421901933,0.7565691080138357,0.7306717480581782,0.7702635781050362,0.747750464037206,0.7702859284268065,0.762896902372614,0.7469209701874588,Random_Forest
