Itemid,Judgement
001-163348,violation
001-163332,violation
001-163355,violation
001-163054,violation
001-162857,violation
001-177076,violation
001-176927,violation
001-140259,violation
001-140261,violation
001-140009,violation
001-140013,violation
001-139996,violation
001-140017,violation
001-139908,violation
001-154391,violation
001-154160,violation
001-154025,violation
001-154148,violation
001-154024,violation
001-153919,violation
001-153925,violation
001-148067,violation
001-147871,violation
001-147888,violation
001-159047,violation
001-159048,violation
001-158803,violation
001-172329,violation
001-59026,violation
001-144680,violation
001-117134,violation
001-117131,violation
001-80518,violation
001-191925,violation
001-104849,violation
001-104851,violation
001-104649,violation
001-104662,violation
001-202434,violation
001-202212,violation
001-96118,violation
001-198465,violation
001-100784,violation
001-100821,violation
001-100659,violation
001-93382,violation
001-92945,violation
001-93121,violation
001-186124,violation
001-77396,violation
001-80696,violation
001-189960,violation
001-189796,violation
001-189725,violation
001-115887,violation
001-115884,violation
001-142516,violation
001-60510,violation
001-60509,violation
001-60484,violation
001-88770,violation
001-112098,violation
001-112097,violation
001-203313,violation
001-203183,violation
001-203002,violation
001-103650,violation
001-103528,violation
001-92595,violation
001-92142,violation
001-92325,violation
001-92318,violation
001-92369,violation
001-84336,violation
001-84450,violation
001-84334,violation
001-109913,violation
001-109886,violation
001-109544,violation
001-196482,violation
001-196484,violation
001-196663,violation
001-196154,violation
001-195978,violation
001-195979,violation
001-195981,violation
001-187467,violation
001-187461,violation
001-187241,violation
001-187240,violation
001-186762,violation
001-186776,violation
001-67614,violation
001-61636,violation
001-61648,violation
001-177935,violation
001-163913,violation
001-155194,violation
001-155198,violation
001-155089,violation
001-141189,violation
001-58238,violation
001-58207,violation
001-57943,violation
001-147031,violation
001-146775,violation
001-146540,violation
001-122263,violation
001-121954,violation
001-122247,violation
001-120970,violation
001-171094,violation
001-170592,violation
001-158026,violation
001-157697,violation
001-157709,violation
001-157765,violation
001-61185,violation
001-168931,violation
001-168933,violation
001-168852,violation
001-168771,violation
001-168864,violation
001-156503,violation
001-105683,violation
001-105277,violation
001-105279,violation
001-105210,violation
001-105203,violation
001-105102,violation
001-113767,violation
001-90610,violation
001-90598,violation
001-90460,violation
001-90452,violation
001-90489,violation
001-90436,violation
001-98610,violation
001-98600,violation
001-98353,violation
001-98357,violation
001-98344,violation
001-98380,violation
001-98376,violation
001-73040,violation
001-82544,violation
001-82546,violation
001-82548,violation
001-69202,violation
001-69206,violation
001-69216,violation
001-69196,violation
001-184660,violation
001-206605,violation
001-206511,violation
001-200546,violation
001-200547,violation
001-200554,violation
001-200469,violation
001-200472,violation
001-200473,violation
001-200451,violation
001-200337,violation
001-200339,violation
001-200343,violation
001-103371,violation
001-103390,violation
001-103387,violation
001-103117,violation
001-111418,violation
001-111406,violation
001-86024,violation
001-86113,violation
001-93768,violation
001-138590,violation
001-138566,violation
001-138574,violation
001-152725,violation
001-167126,violation
001-166936,violation
001-166922,violation
001-180021,violation
001-59452,violation
001-59453,violation
001-59372,violation
001-59450,violation
001-108017,violation
001-107546,violation
001-100029,violation
001-99877,violation
001-99911,violation
001-99802,violation
001-193243,violation
001-193244,violation
001-193081,violation
001-91431,violation
001-91422,violation
001-91312,violation
001-91323,violation
001-83621,violation
001-83278,violation
001-83265,violation
001-160094,violation
001-173467,violation
001-173365,violation
001-173259,violation
001-145224,violation
001-151025,violation
001-150670,violation
001-150640,violation
001-127402,violation
001-127216,violation
001-126913,violation
001-126914,violation
001-126983,violation
001-84112,violation
001-92114,violation
001-92119,violation
001-92117,violation
001-91796,violation
001-92079,violation
001-92062,violation
001-92022,violation
001-91841,violation
001-98917,violation
001-98882,violation
001-98662,violation
001-98517,violation
001-107159,violation
001-178908,violation
001-178946,violation
001-166683,violation
001-59592,violation
001-59562,violation
001-174401,violation
001-97883,violation
001-89919,violation
001-90029,violation
001-89913,violation
001-89917,violation
001-89922,violation
001-114752,violation
001-114490,violation
001-204156,violation
001-106167,violation
001-157515,violation
001-157821,violation
001-170193,violation
001-170052,violation
001-188400,violation
001-188391,violation
001-188372,violation
001-81906,violation
001-81908,violation
001-72549,violation
001-70021,violation
001-183349,violation
001-183384,violation
001-183386,violation
001-183685,violation
001-183207,violation
001-94739,violation
001-86611,violation
001-86607,violation
001-86610,violation
001-86612,violation
001-86883,violation
001-110543,violation
001-102393,violation
001-102449,violation
001-202115,violation
001-201865,violation
001-201861,violation
001-201866,violation
001-201739,violation
001-201755,violation
001-189621,violation
001-189406,violation
001-189407,violation
001-81333,violation
001-169649,violation
001-157372,violation
001-157349,violation
001-89348,violation
001-89502,violation
001-89504,violation
001-88972,violation
001-89333,violation
001-89340,violation
001-97410,violation
001-97338,violation
001-97451,violation
001-97414,violation
001-97250,violation
001-97256,violation
001-106425,violation
001-205067,violation
001-204850,violation
001-204855,violation
001-115657,violation
001-115305,violation
001-115019,violation
001-114938,violation
001-87344,violation
001-87348,violation
001-87144,violation
001-87146,violation
001-95445,violation
001-95451,violation
001-95457,violation
001-95295,violation
001-95297,violation
001-94990,violation
001-201351,violation
001-200838,violation
001-200708,violation
001-200730,violation
001-200731,violation
001-102286,violation
001-101936,violation
001-102007,violation
001-101923,violation
001-101813,violation
001-101803,violation
001-110519,violation
001-110253,violation
001-110255,violation
001-110166,violation
001-182851,violation
001-166482,violation
001-165227,violation
001-164663,violation
001-164669,violation
001-164677,violation
001-178748,violation
001-178517,violation
001-178518,violation
001-178503,violation
001-178357,violation
001-91602,violation
001-91733,violation
001-91738,violation
001-91736,violation
001-83462,violation
001-83470,violation
001-83472,violation
001-83480,violation
001-83482,violation
001-83578,violation
001-107335,violation
001-107189,violation
001-99430,violation
001-99435,violation
001-99214,violation
001-99208,violation
001-99004,violation
001-195527,violation
001-195535,violation
001-195569,violation
001-194439,violation
001-194618,violation
001-76066,violation
001-126628,violation
001-126633,violation
001-126540,violation
001-150305,violation
001-150311,violation
001-150304,violation
001-120961,violation
001-146408,violation
001-146392,violation
001-146388,violation
001-146390,violation
001-206156,violation
001-58831,violation
001-59199,violation
001-161984,violation
001-161528,violation
001-175471,violation
001-193490,violation
001-193491,violation
001-193492,violation
001-91138,violation
001-91132,violation
001-90625,violation
001-90800,violation
001-90813,violation
001-90798,violation
001-179564,violation
001-166954,violation
001-59451,violation
001-58251,violation
001-152427,violation
001-152422,violation
001-152596,violation
001-128036,violation
001-127811,violation
001-61944,violation
001-75148,violation
001-145782,violation
001-145577,violation
001-146044,violation
001-145790,violation
001-145973,violation
