Itemid,Judgement
001-163330,violation
001-177124,violation
001-144944,violation
001-117134,violation
001-191745,violation
001-202435,violation
001-80958,violation
001-189740,violation
001-96701,violation
001-195990,violation
001-76677,violation
001-177650,violation
001-177671,violation
001-164203,violation
001-157970,violation
001-157962,violation
001-157709,violation
001-168849,violation
001-156251,violation
001-105287,violation
001-105147,violation
001-73294,violation
001-78580,violation
001-200441,violation
001-200213,violation
001-152724,violation
001-167128,violation
001-167110,violation
001-167104,violation
001-167112,violation
001-166965,violation
001-166944,violation
001-166945,violation
001-179876,violation
001-107546,violation
001-99907,violation
001-99750,violation
001-193071,violation
001-91238,violation
001-91702,violation
001-194319,violation
001-98552,violation
001-166686,violation
001-174645,violation
001-161416,violation
001-161004,violation
001-97575,violation
001-106240,violation
001-188376,violation
001-188377,violation
001-201886,violation
001-189592,violation
001-81441,violation
001-115301,violation
001-182173,violation
001-99226,violation
001-99026,violation
001-194294,violation
001-66927,violation
001-126550,violation
001-120513,violation
001-120052,violation
001-146372,violation
001-205533,violation
001-193613,violation
001-193486,violation
001-82877,violation
001-179570,violation
001-179428,violation
001-168057,violation
001-150794,violation
001-128055,violation
001-127807,violation
001-119416,violation
001-160318,violation
001-105699,violation
001-90390,violation
001-167764,violation
001-110924,violation
001-198707,violation
001-78585,violation
001-155007,violation
001-163609,violation
001-163610,violation
001-177233,violation
001-171473,violation
001-171471,violation
001-147043,violation
001-104143,violation
001-203840,violation
001-203562,violation
001-112417,violation
001-142073,violation
001-71461,violation
001-191359,violation
001-84836,violation
001-195852,violation
001-109197,violation
001-113328,violation
001-95771,violation
001-192462,violation
001-116369,violation
001-116330,violation
001-108619,violation
001-108590,violation
001-93410,violation
001-85611,violation
001-180847,violation
001-159767,violation
001-60924,violation
001-148225,violation
001-163110,no-violation
001-162853,no-violation
001-144357,no-violation
001-190020,no-violation
001-142529,no-violation
001-96703,no-violation
001-187465,no-violation
001-121561,no-violation
001-170648,no-violation
001-170468,no-violation
001-156269,no-violation
001-90426,no-violation
001-98327,no-violation
001-98344,no-violation
001-187686,no-violation
001-69391,no-violation
001-69392,no-violation
001-167119,no-violation
001-91126,no-violation
001-126911,no-violation
001-61442,no-violation
001-161379,no-violation
001-119465,no-violation
001-188382,no-violation
001-188262,no-violation
001-110718,no-violation
001-97333,no-violation
001-97435,no-violation
001-115209,no-violation
001-110206,no-violation
001-109868,no-violation
001-79022,no-violation
001-61583,no-violation
001-99397,no-violation
001-174953,no-violation
001-82973,no-violation
001-127809,no-violation
001-173805,no-violation
001-187818,no-violation
001-98112,no-violation
001-90212,no-violation
001-156073,no-violation
001-102896,no-violation
001-199173,no-violation
001-78591,no-violation
001-140913,no-violation
001-140771,no-violation
001-158146,no-violation
001-171507,no-violation
001-96339,no-violation
001-191478,no-violation
001-109298,no-violation
001-202750,no-violation
001-104937,no-violation
001-142672,no-violation
001-108580,no-violation
001-108506,no-violation
001-198485,no-violation
